original_title,id
1917,530915
1917,530915
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
12 Years a Slave,76203
127 Hours,44115
127 Hours,44115
45 Years,311291
A Beautiful Day in the Neighborhood,501907
A Better Life,55720
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Complete Unknown,661539
A Real Pain,1013850
A Star Is Born,332562
A Star Is Born,332562
A Star Is Born,332562
A Star Is Born,332562
Aftersun,965150
Albert Nobbs,73873
Albert Nobbs,73873
All Quiet on the Western Front,49046
All the Money in the World,446791
American Fiction,1056360
American Fiction,1056360
American Fiction,1056360
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Hustle,168672
American Sniper,190859
American Sniper,190859
Amour,86837
Amour,86837
Amour,86837
Anatomy of a Fall,915935
Anatomy of a Fall,915935
Anatomy of a Fall,915935
Animal Kingdom,44629
Anora,1064213
Anora,1064213
Anora,1064213
Anora,1064213
Another Round,580175
Argo,68734
Argo,68734
Arrival,329865
Arrival,329865
At Eternity's Gate,491472
August: Osage County,152737
August: Osage County,152737
Avatar: The Way of Water,76600
Barbie,346698
Barbie,346698
Barbie,346698
Beasts of the Southern Wild,84175
Beasts of the Southern Wild,84175
Beasts of the Southern Wild,84175
Beginners,55347
Being the Ricardos,517088
Being the Ricardos,517088
Being the Ricardos,517088
Belfast,777270
Belfast,777270
Belfast,777270
Belfast,777270
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Birdman or (The Unexpected Virtue of Ignorance),194662
Biutiful,45958
Black Panther,284054
Black Panther: Wakanda Forever,505642
Black Swan,44214
Black Swan,44214
Black Swan,44214
BlacKkKlansman,487558
BlacKkKlansman,487558
BlacKkKlansman,487558
Blonde,301502
Blue Jasmine,160588
Blue Jasmine,160588
Blue Valentine,46705
Bohemian Rhapsody,424694
Bohemian Rhapsody,424694
Bombshell,525661
Bombshell,525661
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,740985
Boyhood,85350
Boyhood,85350
Boyhood,85350
Boyhood,85350
Bridesmaids,55721
Bridge of Spies,296098
Bridge of Spies,296098
Brooklyn,167073
Brooklyn,167073
Call Me by Your Name,398818
Call Me by Your Name,398818
Can You Ever Forgive Me?,401847
Can You Ever Forgive Me?,401847
Captain Fantastic,334533
Captain Phillips,109424
Captain Phillips,109424
Carol,258480
Carol,258480
Causeway,595586
CODA,776503
CODA,776503
Cold War,440298
Conclave,974576
Conclave,974576
Conclave,974576
Creed,312221
Dallas Buyers Club,152532
Dallas Buyers Club,152532
Dallas Buyers Club,152532
Darkest Hour,399404
Darkest Hour,399404
Django Unchained,68718
Django Unchained,68718
Don't Look Up,646380
Drive My Car,758866
Drive My Car,758866
Dune,438631
Dune: Part Two,693134
Dunkirk,374720
Dunkirk,374720
Elle,337674
Elvis,614934
Elvis,614934
Emilia Pérez,974950
Emilia Pérez,974950
Emilia Pérez,974950
Emilia Pérez,974950
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Everything Everywhere All at Once,545611
Extremely Loud & Incredibly Close,64685
Extremely Loud & Incredibly Close,64685
Fences,393457
Fences,393457
Fences,393457
Flight,87502
Florence Foster Jenkins,315664
Ford v Ferrari,359724
Foxcatcher,87492
Foxcatcher,87492
Foxcatcher,87492
Get Out,419430
Get Out,419430
Get Out,419430
Gone Girl,210577
Gravity,49047
Gravity,49047
Gravity,49047
Green Book,490132
Green Book,490132
Green Book,490132
Hacksaw Ridge,324786
Hacksaw Ridge,324786
Hacksaw Ridge,324786
Harriet,506528
Hell or High Water,338766
Hell or High Water,338766
Her,152601
Hidden Figures,381284
Hidden Figures,381284
Hillbilly Elegy,592984
Hugo,44826
Hugo,44826
"I, Tonya",389015
"I, Tonya",389015
I'm Still Here,1000837
I'm Still Here,1000837
If Beale Street Could Talk,465914
Inception,27205
Into the Woods,224141
Jackie,376866
Jojo Rabbit,515001
Jojo Rabbit,515001
Joker,475557
Joker,475557
Joker,475557
Joy,274479
Judas and the Black Messiah,583406
Judas and the Black Messiah,583406
Judas and the Black Messiah,583406
Judy,491283
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
Killers of the Flower Moon,466420
King Richard,614917
King Richard,614917
King Richard,614917
La La Land,313369
La La Land,313369
La La Land,313369
La La Land,313369
Lady Bird,391713
Lady Bird,391713
Lady Bird,391713
Lady Bird,391713
Les Misérables,82695
Les Misérables,82695
Les Misérables,82695
Licorice Pizza,718032
Licorice Pizza,718032
Life of Pi,87827
Life of Pi,87827
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lincoln,72976
Lion,334543
Lion,334543
Lion,334543
Little Women,331482
Little Women,331482
Little Women,331482
Living,760099
Loving,339419
Ma Rainey's Black Bottom,615667
Ma Rainey's Black Bottom,615667
Mad Max: Fury Road,76341
Mad Max: Fury Road,76341
Maestro,523607
Maestro,523607
Maestro,523607
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Manchester by the Sea,334541
Mank,614560
Mank,614560
Mank,614560
Mank,614560
Marriage Story,492188
Marriage Story,492188
Marriage Story,492188
Marriage Story,492188
Midnight in Paris,59436
Midnight in Paris,59436
Minari,615643
Minari,615643
Minari,615643
Minari,615643
Moneyball,60308
Moneyball,60308
Moneyball,60308
Moonlight,376867
Moonlight,376867
Moonlight,376867
Moonlight,376867
Mudbound,414425
My Week with Marilyn,75900
My Week with Marilyn,75900
Nebraska,129670
Nebraska,129670
Nebraska,129670
Nebraska,129670
Nickel Boys,1028196
Nightmare Alley,597208
Nocturnal Animals,340666
Nomadland,581734
Nomadland,581734
Nomadland,581734
Nyad,895549
Nyad,895549
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
Once upon a Time...in Hollywood,466272
One Night in Miami...,661914
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Oppenheimer,872585
Pain and Glory,519010
Parallel Mothers,766798
Parasite,496243
Parasite,496243
Past Lives,666277
Phantom Thread,400617
Phantom Thread,400617
Phantom Thread,400617
Phantom Thread,400617
Philomena,205220
Philomena,205220
Pieces of a Woman,641662
Poor Things,792307
Poor Things,792307
Poor Things,792307
Poor Things,792307
Promising Young Woman,582014
Promising Young Woman,582014
Promising Young Woman,582014
Rabbit Hole,27585
Richard Jewell,292011
Roma,426426
Roma,426426
Roma,426426
Roma,426426
"Roman J. Israel, Esq.",413362
Room,264644
Room,264644
Room,264644
Rustin,898713
Selma,273895
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Silver Linings Playbook,82693
Sing Sing,1155828
Sound of Metal,502033
Sound of Metal,502033
Sound of Metal,502033
Spencer,716612
Spotlight,314365
Spotlight,314365
Spotlight,314365
Spotlight,314365
Steve Jobs,321697
Steve Jobs,321697
Still Alice,284293
Tár,817758
Tár,817758
Tár,817758
The Apprentice,1182047
The Apprentice,1182047
The Artist,74643
The Artist,74643
The Artist,74643
The Artist,74643
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Banshees of Inisherin,674324
The Big Short,318846
The Big Short,318846
The Big Short,318846
The Brutalist,549509
The Brutalist,549509
The Brutalist,549509
The Brutalist,549509
The Brutalist,549509
The Color Purple,558915
The Danish Girl,306819
The Danish Girl,306819
The Descendants,65057
The Descendants,65057
The Descendants,65057
The Eyes of Tammy Faye,601470
The Fabelmans,804095
The Fabelmans,804095
The Fabelmans,804095
The Fabelmans,804095
The Father,600354
The Father,600354
The Father,600354
The Favourite,375262
The Favourite,375262
The Favourite,375262
The Favourite,375262
The Favourite,375262
The Fighter,45317
The Fighter,45317
The Fighter,45317
The Fighter,45317
The Fighter,45317
The Florida Project,394117
The Girl with the Dragon Tattoo,65754
The Grand Budapest Hotel,120467
The Grand Budapest Hotel,120467
The Hateful Eight,273248
The Help,50014
The Help,50014
The Help,50014
The Help,50014
The Holdovers,840430
The Holdovers,840430
The Holdovers,840430
The Imitation Game,205596
The Imitation Game,205596
The Imitation Game,205596
The Imitation Game,205596
The Impossible,80278
The Irishman,398978
The Irishman,398978
The Irishman,398978
The Irishman,398978
The Iron Lady,71688
The Judge,205587
The Kids Are All Right,39781
The Kids Are All Right,39781
The Kids Are All Right,39781
The King's Speech,45269
The King's Speech,45269
The King's Speech,45269
The King's Speech,45269
The King's Speech,45269
The Lost Daughter,554230
The Lost Daughter,554230
The Martian,286217
The Martian,286217
The Master,68722
The Master,68722
The Master,68722
The Post,446354
The Post,446354
The Power of the Dog,600583
The Power of the Dog,600583
The Power of the Dog,600583
The Power of the Dog,600583
The Power of the Dog,600583
The Power of the Dog,600583
The Revenant,281957
The Revenant,281957
The Revenant,281957
The Revenant,281957
The Sessions,113947
The Shape of Water,399055
The Shape of Water,399055
The Shape of Water,399055
The Shape of Water,399055
The Shape of Water,399055
The Social Network,37799
The Social Network,37799
The Social Network,37799
The Substance,933260
The Substance,933260
The Substance,933260
The Theory of Everything,266856
The Theory of Everything,266856
The Theory of Everything,266856
The Town,23168
The Tragedy of Macbeth,591538
The Tree of Life,8967
The Tree of Life,8967
The Trial of the Chicago 7,556984
The Trial of the Chicago 7,556984
The Two Popes,551332
The Two Popes,551332
The United States vs. Billie Holiday,566076
The Whale,785084
The Whale,785084
The Wife,340613
The Wolf of Wall Street,106646
The Wolf of Wall Street,106646
The Wolf of Wall Street,106646
The Wolf of Wall Street,106646
The Zone of Interest,467244
The Zone of Interest,467244
"Three Billboards outside Ebbing, Missouri",359940
"Three Billboards outside Ebbing, Missouri",359940
"Three Billboards outside Ebbing, Missouri",359940
"Three Billboards outside Ebbing, Missouri",359940
"tick, tick...BOOM!",537116
Tinker Tailor Soldier Spy,35430
To Leslie,823147
Top Gun: Maverick,361743
Toy Story 3,10193
Triangle of Sadness,497828
Triangle of Sadness,497828
True Grit,44264
True Grit,44264
True Grit,44264
True Grit,44264
Trumbo,294016
"Two Days, One Night",221902
Vice,429197
Vice,429197
Vice,429197
Vice,429197
Vice,429197
War Horse,57212
Warrior,59440
West Side Story,511809
West Side Story,511809
West Side Story,511809
Whiplash,244786
Whiplash,244786
Wicked,402431
Wicked,402431
Wicked,402431
Wild,228970
Wild,228970
Winter's Bone,39013
Winter's Bone,39013
Winter's Bone,39013
Women Talking,777245
Zero Dark Thirty,97630
Zero Dark Thirty,97630
21 Grams,470
21 Grams,470
A Beautiful Mind,453
A Beautiful Mind,453
A Beautiful Mind,453
A Beautiful Mind,453
A Civil Action,9422
A History of Violence,59
A Serious Man,12573
A Simple Plan,10223
A Single Man,34653
About Schmidt,2755
About Schmidt,2755
Adaptation,2757
Adaptation,2757
Adaptation,2757
Affliction,31662
Affliction,31662
Afterglow,26941
Ali,8489
Ali,8489
Almost Famous,786
Almost Famous,786
American Beauty,14
American Beauty,14
American Beauty,14
American Beauty,14
American Gangster,4982
American History X,73
Amistad,11831
An Education,24684
An Education,24684
As Good as It Gets,2898
As Good as It Gets,2898
As Good as It Gets,2898
As Good as It Gets,2898
Atonement,4347
Atonement,4347
Avatar,19995
Avatar,19995
Away from Her,1919
Babel,1164
Babel,1164
Babel,1164
Babel,1164
Before Night Falls,5001
Being John Malkovich,492
Being John Malkovich,492
Being Julia,18701
Billy Elliot,71
Billy Elliot,71
Black Hawk Down,855
Blood Diamond,1372
Blood Diamond,1372
Boogie Nights,4995
Boogie Nights,4995
Boys Don't Cry,226
Boys Don't Cry,226
Breaking the Waves,145
Bridget Jones's Diary,634
Brokeback Mountain,142
Brokeback Mountain,142
Brokeback Mountain,142
Brokeback Mountain,142
Brokeback Mountain,142
Capote,398
Capote,398
Capote,398
Capote,398
Cast Away,8358
Catch Me If You Can,640
Central Station,666
Changeling,3580
Charlie Wilson's War,6538
Chicago,1574
Chicago,1574
Chicago,1574
Chicago,1574
Chicago,1574
Chicago,1574
Chocolat,392
Chocolat,392
Chocolat,392
Cinderella Man,921
City of God,598
Closer,2288
Closer,2288
Cold Mountain,2289
Cold Mountain,2289
Collateral,1538
Crash,1640
Crash,1640
Crash,1640
Crazy Heart,25196
Crazy Heart,25196
"Crouching Tiger, Hidden Dragon",146
"Crouching Tiger, Hidden Dragon",146
District 9,17654
Doubt,14359
Doubt,14359
Doubt,14359
Doubt,14359
Dreamgirls,1125
Dreamgirls,1125
Eastern Promises,2252
Elizabeth,4518
Elizabeth,4518
Elizabeth: The Golden Age,4517
Erin Brockovich,462
Erin Brockovich,462
Erin Brockovich,462
Erin Brockovich,462
Eternal Sunshine of the Spotless Mind,38
Far from Heaven,10712
Fargo,275
Fargo,275
Fargo,275
Fargo,275
Finding Neverland,866
Finding Neverland,866
Frida,1360
Frost/Nixon,11499
Frost/Nixon,11499
Frost/Nixon,11499
Frozen River,10183
Gangs of New York,3131
Gangs of New York,3131
Gangs of New York,3131
Ghosts of Mississippi,31908
"Girl, Interrupted",3558
Gladiator,98
Gladiator,98
Gladiator,98
Gladiator,98
Gods and Monsters,3033
Gods and Monsters,3033
Gone Baby Gone,4771
"Good Night, and Good Luck.",3291
"Good Night, and Good Luck.",3291
"Good Night, and Good Luck.",3291
Good Will Hunting,489
Good Will Hunting,489
Good Will Hunting,489
Good Will Hunting,489
Good Will Hunting,489
Gosford Park,5279
Gosford Park,5279
Gosford Park,5279
Gosford Park,5279
Half Nelson,7859
Hilary and Jackie,46992
Hilary and Jackie,46992
Hotel Rwanda,205
Hotel Rwanda,205
House of Sand and Fog,11093
House of Sand and Fog,11093
Hustle & Flow,10476
I Am Sam,10950
I'm Not There,3902
In & Out,10806
In America,10511
In America,10511
In the Bedroom,1999
In the Bedroom,1999
In the Bedroom,1999
In the Bedroom,1999
In the Valley of Elah,6973
Inglourious Basterds,16869
Inglourious Basterds,16869
Inglourious Basterds,16869
Into the Wild,5915
Invictus,22954
Invictus,22954
Iris,11889
Iris,11889
Iris,11889
Jackie Brown,184
Jerry Maguire,9390
Jerry Maguire,9390
Jerry Maguire,9390
Julie & Julia,24803
Junebug,1444
Juno,7326
Juno,7326
Juno,7326
Kinsey,11184
L.A. Confidential,2118
L.A. Confidential,2118
L.A. Confidential,2118
La Vie en Rose,1407
Letters from Iwo Jima,1251
Letters from Iwo Jima,1251
Life Is Beautiful,637
Life Is Beautiful,637
Life Is Beautiful,637
Little Children,1440
Little Children,1440
Little Miss Sunshine,773
Little Miss Sunshine,773
Little Miss Sunshine,773
Little Voice,8545
Lost in Translation,153
Lost in Translation,153
Lost in Translation,153
Magnolia,334
Maria Full of Grace,436
Marvin's Room,9819
Master and Commander: The Far Side of the World,8619
Master and Commander: The Far Side of the World,8619
Michael Clayton,4566
Michael Clayton,4566
Michael Clayton,4566
Michael Clayton,4566
Michael Clayton,4566
Milk,10139
Milk,10139
Milk,10139
Milk,10139
Million Dollar Baby,70
Million Dollar Baby,70
Million Dollar Baby,70
Million Dollar Baby,70
Million Dollar Baby,70
Monster,504
Monster's Ball,1365
Moulin Rouge,824
Moulin Rouge,824
Mrs. Brown,17589
Mrs. Henderson Presents,10773
Mulholland Drive,1018
Munich,612
Munich,612
Music of the Heart,26149
Mystic River,322
Mystic River,322
Mystic River,322
Mystic River,322
Mystic River,322
Nine,10197
No Country for Old Men,6977
No Country for Old Men,6977
No Country for Old Men,6977
North Country,9701
North Country,9701
Notes on a Scandal,1259
Notes on a Scandal,1259
One True Thing,53113
Pieces of April,1550
Pirates of the Caribbean: The Curse of the Black Pearl,22
Pollock,12509
Pollock,12509
Precious: Based on the Novel 'Push' by Sapphire,25793
Precious: Based on the Novel 'Push' by Sapphire,25793
Precious: Based on the Novel 'Push' by Sapphire,25793
Precious: Based on the Novel 'Push' by Sapphire,25793
Pride & Prejudice,4348
Primal Fear,1592
Primary Colors,9440
Quills,10876
Rachel Getting Married,14976
Ray,1677
Ray,1677
Ray,1677
Requiem for a Dream,641
Revolutionary Road,4148
Road to Perdition,4147
Saving Private Ryan,857
Saving Private Ryan,857
Saving Private Ryan,857
Seabiscuit,4464
Secrets & Lies,11159
Secrets & Lies,11159
Secrets & Lies,11159
Secrets & Lies,11159
Sexy Beast,11826
Shadow of the Vampire,10873
Shakespeare in Love,1934
Shakespeare in Love,1934
Shakespeare in Love,1934
Shakespeare in Love,1934
Shakespeare in Love,1934
Shine,7863
Shine,7863
Shine,7863
Shine,7863
Sideways,9675
Sideways,9675
Sideways,9675
Sideways,9675
Sling Blade,12498
Slumdog Millionaire,12405
Slumdog Millionaire,12405
Something's Gotta Give,6964
Sweeney Todd The Demon Barber of Fleet Street,13885
Sweet and Lowdown,9684
Sweet and Lowdown,9684
Syriana,231
Talk to Her,64
The Apostle,2895
The Assassination of Jesse James by the Coward Robert Ford,4512
The Aviator,2567
The Aviator,2567
The Aviator,2567
The Aviator,2567
The Aviator,2567
The Blind Side,22881
The Blind Side,22881
The Cider House Rules,1715
The Cider House Rules,1715
The Cider House Rules,1715
The Constant Gardener,1985
The Contender,6521
The Contender,6521
The Cooler,10744
The Crucible,20539
The Curious Case of Benjamin Button,4922
The Curious Case of Benjamin Button,4922
The Curious Case of Benjamin Button,4922
The Curious Case of Benjamin Button,4922
The Dark Knight,155
The Departed,1422
The Departed,1422
The Departed,1422
The Devil Wears Prada,350
The Diving Bell and the Butterfly,2013
The End of the Affair,20024
The English Patient,409
The English Patient,409
The English Patient,409
The English Patient,409
The English Patient,409
The Full Monty,9427
The Full Monty,9427
The Green Mile,497
The Green Mile,497
The Hours,590
The Hours,590
The Hours,590
The Hours,590
The Hours,590
The Hurricane,10400
The Hurt Locker,12162
The Hurt Locker,12162
The Hurt Locker,12162
The Insider,9008
The Insider,9008
The Insider,9008
The Last King of Scotland,1523
The Last Samurai,616
The Last Station,36811
The Last Station,36811
The Lord of the Rings: The Fellowship of the Ring,120
The Lord of the Rings: The Fellowship of the Ring,120
The Lord of the Rings: The Fellowship of the Ring,120
The Lord of the Rings: The Return of the King,122
The Lord of the Rings: The Return of the King,122
The Lord of the Rings: The Two Towers,121
The Lovely Bones,7980
The Messenger,28089
The Mirror Has Two Faces,25189
The People vs. Larry Flynt,1630
The People vs. Larry Flynt,1630
The Pianist,423
The Pianist,423
The Pianist,423
The Portrait of a Lady,36758
The Pursuit of Happyness,1402
The Queen,1165
The Queen,1165
The Queen,1165
The Quiet American,8198
The Reader,8055
The Reader,8055
The Reader,8055
The Savages,8272
The Sixth Sense,745
The Sixth Sense,745
The Sixth Sense,745
The Sixth Sense,745
The Straight Story,404
The Sweet Hereafter,10217
The Talented Mr. Ripley,1213
The Thin Red Line,8741
The Thin Red Line,8741
The Truman Show,37165
The Truman Show,37165
The Visitor,12473
The Wings of the Dove,45609
The Wrestler,12163
The Wrestler,12163
There Will Be Blood,7345
There Will Be Blood,7345
There Will Be Blood,7345
Thirteen,11023
Titanic,597
Titanic,597
Titanic,597
Titanic,597
Traffic,1900
Traffic,1900
Traffic,1900
Training Day,2034
Training Day,2034
Transamerica,546
Tropic Thunder,7446
Tumbleweeds,55123
Ulee's Gold,55306
Unfaithful,2251
United 93,9829
Up,14160
Up in the Air,22947
Up in the Air,22947
Up in the Air,22947
Up in the Air,22947
Up in the Air,22947
Venus,13771
Vera Drake,11109
Vera Drake,11109
Vicky Cristina Barcelona,5038
Volver,219
Wag the Dog,586
Walk the Line,69
Walk the Line,69
Whale Rider,1088
You Can Count on Me,14295
